Gname,Site,Year,Season,Rep,Location,PH,Country,AMY,DTF,DTH,FTP,YLD
Salt049,IRRI,2011,DS,R1,Nueva Ecija,104.2701979147,11.6071715455,3.627408088,6.509286135,6.7305986193,6.1895171939,8.7752770334
Salt050,IRRI,2011,DS,R1,Nueva Ecija,101.1793828417,12.020072269,5.7322812406,6.1631544221,3.745197542,4.9882267925,7.4185491205
Salt051,IRRI,2011,DS,R1,Nueva Ecija,119.2431666711,12.1941279211,4.0672268969,6.8897359378,6.5279965052,6.8714992762,6.9036882261
Salt052,IRRI,2011,DS,R1,Nueva Ecija,99.3438125078,11.1685498008,3.4531642391,4.2874403661,6.1121479454,3.4498446093,10.7447497075
Salt053,IRRI,2011,DS,R1,Nueva Ecija,105.9933719923,12.6768114277,5.5221095126,5.996510726,4.7908310977,4.8274994867,9.0891423646
Salt054,IRRI,2011,DS,R1,Nueva Ecija,106.0936333398,11.1886887572,4.9709086788,5.019377533,4.4830885353,4.7075572125,8.0283784038
Salt055,IRRI,2011,DS,R1,Nueva Ecija,82.929893,13.5180334541,3.2799255929,4.7746558409,4.3306239277,4.8738532585,6.66350899
Salt056,IRRI,2011,DS,R1,Nueva Ecija,92.7054227677,12.0836418623,4.4163392654,3.5191856413,6.2763089378,4.5367373292,8.0992034811
Salt057,IRRI,2011,DS,R1,Nueva Ecija,109.9968837074,12.7272675547,7.7660760745,6.2504204422,6.0616513823,5.4518307555,8.0209249619
Salt058,IRRI,2011,DS,R1,Nueva Ecija,91.405097019,12.4281613932,4.2024755668,4.5327270303,7.0338465543,4.4731170809,8.6701422385
Salt059,IRRI,2011,DS,R1,Nueva Ecija,90.7720933772,12.7259905628,3.4557589696,6.0016763462,6.8914661066,4.994596465,6.6959227511
Salt060,IRRI,2011,DS,R1,Nueva Ecija,87.2329534492,10.4669816857,7.140373537,4.813409383,8.2368137995,4.8959186744,7.9249655802
Salt061,IRRI,2011,DS,R1,Nueva Ecija,105.0748249238,12.4005043683,4.8510624321,4.6578073013,5.1028505552,4.8824045295,7.765654796
Salt062,IRRI,2011,DS,R1,Nueva Ecija,107.9154212038,13.7568043742,6.3885852288,5.2365712228,5.0595958191,4.7395178557,8.591928896
Salt063,IRRI,2011,DS,R1,Nueva Ecija,96.8822833559,14.0828643019,5.0560719511,4.8070892395,6.0536350244,4.7451150509,5.7540043995
Salt064,IRRI,2011,DS,R1,Nueva Ecija,85.4110482946,12.2371577872,6.1575900674,4.4345686943,5.1341515423,4.9585428223,7.9071758709
Salt065,IRRI,2011,DS,R1,Nueva Ecija,121.7353497871,11.2459180924,5.5833923328,4.3383230936,6.3622735814,5.5776196096,9.633942541
Salt066,IRRI,2011,DS,R1,Nueva Ecija,100.3211240178,11.593394295,3.2492381035,5.8806034787,5.5301456756,4.2989567145,9.0264559507
Salt067,IRRI,2011,DS,R1,Nueva Ecija,95.2126531295,12.8452357736,4.2541541088,4.2485743225,5.2824642697,5.9378231733,8.9388050341
Salt068,IRRI,2011,DS,R1,Nueva Ecija,106.3832090872,13.4580176746,5.5163189678,4.0379276994,4.6596628682,3.8587518403,8.6093502805
Salt069,IRRI,2011,DS,R1,Nueva Ecija,108.2231347134,11.8792701761,5.1395724779,5.0461061998,4.7927767031,3.6381726972,7.5464527685
Salt070,IRRI,2011,DS,R1,Nueva Ecija,94.57660212,11.8094210934,4.7486734357,5.5525232168,6.1470592393,4.1978886587,5.962717393
Salt071,IRRI,2011,DS,R1,Nueva Ecija,99.3651813017,12.0950567711,4.587098578,6.8814611223,4.1911617835,5.1942438526,9.7692327925
Salt072,IRRI,2011,DS,R1,Nueva Ecija,92.8769945157,12.4738937423,6.7445231787,6.4361318866,5.2847948292,4.1482498681,7.4569628701
Salt073,IRRI,2011,DS,R1,Nueva Ecija,93.0390656136,10.9476416291,6.3901493933,3.7887557986,4.7200203524,6.6566434235,8.2269698593
Salt074,IRRI,2011,DS,R1,Nueva Ecija,87.771585936,11.2238815799,5.3866712342,4.8981861036,5.44583478,2.6598996922,8.1311255456
Salt075,IRRI,2011,DS,R1,Nueva Ecija,101.8696442983,12.6590636216,5.4599720683,4.2196211673,5.9396852447,4.6172984296,8.2241615081
Salt076,IRRI,2011,DS,R1,Nueva Ecija,100.8764883789,11.9325706321,6.0703031975,4.1654076456,5.4353750918,4.6357367335,6.7018341264
Salt077,IRRI,2011,DS,R1,Nueva Ecija,116.1587460473,10.7721893929,5.3040054816,5.0468211363,5.7295188628,4.7191902065,8.0287624333
Salt078,IRRI,2011,DS,R1,Nueva Ecija,92.8084436262,13.0008243176,4.2964253517,4.8478469764,3.909263009,5.7225746585,8.7980627263
Salt079,IRRI,2011,DS,R1,Nueva Ecija,100.018176933,12.1632499867,4.1980973032,4.3680711322,6.3294772253,3.1701828566,6.7920375092
Salt080,IRRI,2011,DS,R1,Nueva Ecija,105.8010809845,10.5299231206,3.5041250851,5.2542918348,6.3569734921,4.544711473,8.0713793529
Salt081,IRRI,2011,DS,R1,Nueva Ecija,91.0549424248,10.9771715544,3.0126016621,5.9475745181,4.6649332477,4.5375385346,7.7830694847
Salt082,IRRI,2011,DS,R1,Nueva Ecija,104.4170379771,11.2868665577,3.8684361559,4.0570188442,4.8320858987,5.3070129529,5.9100104453
Salt083,IRRI,2011,DS,R1,Nueva Ecija,109.7687093731,11.9374967897,5.8419131415,4.6356093383,3.7908687534,6.2670169562,9.0009482557
Salt084,IRRI,2011,DS,R1,Nueva Ecija,98.2721624489,12.5311744866,5.8093356038,1.9457278949,4.8247884044,5.8232803669,9.2717575872
Salt085,IRRI,2011,DS,R1,Nueva Ecija,91.6347748333,12.9918622446,6.1315162078,6.0057061233,5.2748614014,5.9033630417,7.9973957961
Salt086,IRRI,2011,DS,R1,Nueva Ecija,100.8208081678,12.0623080209,4.3295201899,5.7547982222,5.6615673412,5.0949412004,7.8665290407
Salt087,IRRI,2011,DS,R1,Nueva Ecija,108.5122450964,10.4169103017,3.7489401729,4.8072961614,6.2576980648,4.2589360144,7.5977817158
Salt088,IRRI,2011,DS,R1,Nueva Ecija,93.592622715,11.3309089647,3.6406486443,6.2917542141,4.3288957388,2.5463250569,7.040012459
Salt089,IRRI,2011,DS,R1,Nueva Ecija,102.2604414236,11.5775643237,6.1909557419,6.141382618,3.9458130952,5.9154050413,7.8920315652
Salt090,IRRI,2011,DS,R1,Nueva Ecija,100.6261083431,13.1073426132,4.3711614018,4.6382228112,4.8723389365,5.1905442097,8.6691172247
Salt091,IRRI,2011,DS,R1,Nueva Ecija,94.2985671612,11.8674505991,5.562213569,5.746936637,5.4693252639,5.1484119947,8.7878338599
Salt092,IRRI,2011,DS,R1,Nueva Ecija,127.0388942474,10.9286224037,4.3496061423,5.6133176933,5.2516585126,5.6163117965,6.9504878674
Salt093,IRRI,2011,DS,R1,Nueva Ecija,92.3800495602,9.9567571681,5.2862497046,6.5486039348,5.2414210016,7.1217550909,7.4891779809
Salt094,IRRI,2011,DS,R1,Nueva Ecija,106.844945768,13.4854764851,4.6619680409,4.6388214341,6.6623002776,5.3856836886,6.4617801666
Salt095,IRRI,2011,DS,R1,Nueva Ecija,85.5999867731,11.1802961806,6.0757414766,5.7293198759,6.4773568789,3.6423571573,9.1965169969
Salt096,IRRI,2011,DS,R1,Nueva Ecija,90.7726937609,11.9991787978,4.2689074675,5.1491938843,4.46406876,6.586047365,7.5188521517
Salt097,IRRI,2011,DS,R1,Nueva Ecija,87.516024812,11.1799743752,4.7422971544,4.6286072418,3.1181237353,4.556012241,7.3971707082
Salt098,IRRI,2011,DS,R1,Nueva Ecija,97.0710388235,12.7625821203,5.8286035827,5.5318137543,5.5310270824,4.7399273132,6.3421076205
Salt099,IRRI,2011,DS,R1,Nueva Ecija,85.8460529758,11.3493859909,3.995553551,5.34092474,5.2697989192,5.4432960421,9.1984407945
Salt100,IRRI,2011,DS,R1,Nueva Ecija,109.7325635333,10.8936255517,4.5728188318,5.8058490638,5.0239874116,5.7610816208,7.9449827334
Salt101,IRRI,2011,DS,R1,Nueva Ecija,103.8683266284,12.4625438466,4.9678925839,3.5739528647,5.3707358155,3.0776886787,7.4137939796
Salt102,IRRI,2011,DS,R1,Nueva Ecija,113.4568141765,12.0164010406,5.3710900849,3.9222606171,5.2995075487,4.7434490408,10.056277738
Salt103,IRRI,2011,DS,R1,Nueva Ecija,89.2207363612,11.1361818816,4.2941024732,5.2707030387,3.7454722381,5.9257543303,6.9751782774
Salt104,IRRI,2011,DS,R1,Nueva Ecija,106.436429504,12.2544319898,7.0938905241,4.4353304465,4.9847652148,5.8504430203,8.4268544223
Salt105,IRRI,2011,DS,R1,Nueva Ecija,112.4695209183,12.4248321088,5.4224732722,4.8287145819,5.2934716864,6.728243931,8.6596825522
Salt106,IRRI,2011,DS,R1,Nueva Ecija,92.869207095,10.1601187602,5.026887905,6.0241551304,4.9039005786,5.1596154059,8.1924909816
Salt107,IRRI,2011,DS,R1,Nueva Ecija,83.668902888,10.9241865985,5.2965319892,5.2120632325,4.7922573332,4.5619043264,8.7032405039
Salt108,IRRI,2011,DS,R1,Nueva Ecija,101.4019252239,12.0021474415,3.6967284428,3.4101066686,6.042111971,4.2139682587,7.5957918259
Salt109,IRRI,2011,DS,R1,Nueva Ecija,108.3912583633,11.2814249708,7.9662319469,4.8278256206,5.4272757142,5.1686913465,8.9306529593
Salt110,IRRI,2011,DS,R1,Nueva Ecija,106.3945772776,10.3974778129,4.588646021,6.0678940625,4.5958264583,4.050574115,9.3170320691
Salt111,IRRI,2011,DS,R1,Nueva Ecija,91.5855652654,11.1965720283,5.2315687352,4.6860344927,6.6155914227,6.3332898585,8.3008768119
Salt112,IRRI,2011,DS,R1,Nueva Ecija,100.5742461591,11.3430297602,4.2357656705,8.1300433375,3.7134670646,4.2617962848,8.3635900891
Salt113,IRRI,2011,DS,R1,Nueva Ecija,94.1965856996,12.2939666109,7.0139532561,3.3393435743,5.1421434077,6.0363661535,8.5021338303
Salt114,IRRI,2011,DS,R1,Nueva Ecija,109.7683740366,12.0594216931,6.4454520041,4.6285058433,5.9373627746,5.7481314161,9.385013947
Salt115,IRRI,2011,DS,R1,Nueva Ecija,101.3678934845,12.9170595786,4.0400437397,5.7195314099,2.9313141614,6.0891247426,8.3048403916
Salt116,IRRI,2011,DS,R1,Nueva Ecija,93.3306429156,12.5140292444,5.3372308958,5.5060625058,3.9944775708,5.2688831615,7.5610816061
Salt117,IRRI,2011,DS,R1,Nueva Ecija,123.1187023951,11.8945437083,4.3973703588,5.1481207972,4.72664483,5.5659365166,8.9205248721
Salt118,IRRI,2011,DS,R1,Nueva Ecija,99.9934856376,12.9883257534,3.9115289533,4.8042104009,5.1869139994,6.4254133606,9.5566757209
Salt119,IRRI,2011,DS,R1,Nueva Ecija,118.8549208977,11.9916071158,6.4704333026,5.7112636153,5.9277921156,5.4758773407,7.9467222606
Salt120,IRRI,2011,DS,R1,Nueva Ecija,75.0920431043,11.5482810528,5.3972953605,5.0010315897,5.2683535435,5.518611997,7.3631034633
Salt121,IRRI,2011,DS,R1,Nueva Ecija,103.8075922657,14.1331052193,5.1680232257,3.1627374086,4.6152675965,5.9254424211,8.6287184786
Salt122,IRRI,2011,DS,R1,Nueva Ecija,95.0352469243,12.2467490065,4.1802841054,5.7962019433,5.0173707492,5.510321842,6.3221211515
Salt123,IRRI,2011,DS,R1,Nueva Ecija,90.9937997516,12.1671942712,3.6481522798,2.8638038417,4.9661563179,4.9950979802,7.2099617679
Salt124,IRRI,2011,DS,R1,Nueva Ecija,93.9907757615,11.1798433683,5.1531756449,3.9807276148,4.0790487138,6.5220776785,7.9089000343
Salt125,IRRI,2011,DS,R1,Nueva Ecija,109.6116983563,12.4192561885,5.5232667944,5.1444304435,5.2090462676,4.4747627091,7.0538391802
Salt126,IRRI,2011,DS,R1,Nueva Ecija,100.7932938994,13.4697359592,5.273509942,3.3112479503,3.4203791968,4.5794089684,8.1925027037
Salt127,IRRI,2011,DS,R1,Nueva Ecija,84.643383567,10.3337795152,4.4555462056,5.0891716936,4.905095724,5.8398060223,6.7036833039
Salt128,IRRI,2011,DS,R1,Nueva Ecija,92.6620381419,12.7171033733,5.9033495448,4.7133051893,5.9505217226,5.5219996191,8.65138633
Salt129,IRRI,2011,DS,R1,Nueva Ecija,105.4659025651,11.4720330828,2.7507288258,5.2022945481,5.699865167,5.5025196679,8.9439966215
Salt130,IRRI,2011,DS,R1,Nueva Ecija,94.613008139,10.9863555497,4.1367065664,5.4145137157,4.9109480075,5.5000879512,7.065281341
Salt131,IRRI,2011,DS,R1,Nueva Ecija,96.9508320768,10.9791861478,5.5477080074,3.6206535763,5.1892270668,5.3934555882,7.5985873712
Salt132,IRRI,2011,DS,R1,Nueva Ecija,88.8530779406,12.9360253335,4.4022249264,4.8241146695,4.7115813172,3.3786585314,8.3605895072
Salt133,IRRI,2011,DS,R1,Nueva Ecija,98.4839873589,12.3223586603,6.9840607835,5.8294727961,4.496547203,3.6218521141,6.5629439726
Salt134,IRRI,2011,DS,R1,Nueva Ecija,111.5386067076,12.0856028559,4.6479067473,5.2605079864,4.5300374951,6.3758472795,8.930177392
Salt135,IRRI,2011,DS,R1,Nueva Ecija,111.0227990575,12.3796505626,3.9016034502,5.1350432665,7.2451592938,3.151921119,7.6488701261
Salt136,IRRI,2011,DS,R1,Nueva Ecija,99.9453245152,12.4735986215,5.380186585,5.830634758,5.4337891022,6.1269677756,8.462394577
Salt137,IRRI,2011,DS,R1,Nueva Ecija,91.8774904664,12.6707720721,5.2137071221,4.3520252591,6.3588202771,6.4863603492,7.8267658006
Salt138,IRRI,2011,DS,R1,Nueva Ecija,93.4427451635,12.4210472133,6.0835787317,3.5543899206,3.8219986628,5.4617834399,8.1719588499
Salt139,IRRI,2011,DS,R1,Nueva Ecija,73.7267072879,12.7938788707,5.2329337691,5.2533678755,5.53981339,6.0154893504,9.317992688
Salt140,IRRI,2011,DS,R1,Nueva Ecija,82.453535378,12.561084172,3.9418802586,5.662985895,4.0608080088,4.7766804565,8.3040250041
Salt141,IRRI,2011,DS,R1,Nueva Ecija,75.8735942293,13.126273119,5.2262551137,5.747741517,4.4136398109,5.5173580054,8.0317810797
Salt142,IRRI,2011,DS,R1,Nueva Ecija,99.6864426553,12.1998790963,5.0279854403,5.1679710141,6.2491747642,5.3277608125,6.7464754566
Salt143,IRRI,2011,DS,R1,Nueva Ecija,105.3646341367,12.4817773608,5.9781232493,5.0938709749,5.1851456053,6.3191862358,6.6019937133
Salt144,IRRI,2011,DS,R1,Nueva Ecija,118.7519808839,12.4264874693,6.2395517502,5.4265551011,5.2136575212,5.0642587147,8.2462492103
Salt145,IRRI,2011,DS,R1,Nueva Ecija,85.0367359852,13.4486718246,4.5557668533,5.7499500198,5.4152612961,5.4904737904,8.2634914675
Salt146,IRRI,2011,DS,R1,Nueva Ecija,104.6723778095,13.0140315564,6.6986640101,4.0912780106,4.7391059793,4.8612863106,8.2827255681
Salt147,IRRI,2011,DS,R1,Nueva Ecija,94.6350989313,10.2588301994,4.0190531593,3.6643497766,5.8642246094,5.8065896591,9.4058606125
Salt148,IRRI,2011,DS,R1,Nueva Ecija,81.8382463705,10.6273948717,4.8516758114,4.0651414965,4.9045080266,5.4001763214,8.483056534
Salt149,IRRI,2011,DS,R1,Nueva Ecija,99.3923901181,12.8035285508,3.9281362132,4.7295365942,4.5958130909,5.455504732,8.7970024075
Salt150,IRRI,2011,DS,R1,Nueva Ecija,104.4000130699,11.0027511418,4.0862598203,5.3200758276,5.2590200795,4.4032271092,8.6518691676
Salt151,IRRI,2011,DS,R1,Nueva Ecija,86.6135469606,12.4612277718,4.8821594267,4.8441655705,5.6665311595,4.5798238832,8.6807783264
Salt152,IRRI,2011,DS,R1,Nueva Ecija,103.7610350186,10.9404452434,4.4836053671,6.5369438578,6.1536834463,6.9444303272,6.6862964669
Salt153,IRRI,2011,DS,R1,Nueva Ecija,99.9596267444,11.1494096917,4.8993778902,3.8916838414,4.891731877,5.4960512914,7.1846387603
Salt154,IRRI,2011,DS,R1,Nueva Ecija,82.2765745811,13.5608858386,5.6902055245,6.8790474923,3.8166010272,4.9809169879,8.4065925825
Salt155,IRRI,2011,DS,R1,Nueva Ecija,74.7463492846,11.6929303056,5.4425959316,4.3577277512,5.4491188373,5.4217502098,7.3933129952
Salt156,IRRI,2011,DS,R1,Nueva Ecija,118.6338013151,11.8911752424,4.8364432109,4.9036752007,4.4430732813,4.694565329,8.5295354233
Salt157,IRRI,2011,DS,R1,Nueva Ecija,112.6921225441,13.9368847195,4.4610258205,5.6863411065,5.9881302671,6.5598508563,5.7180514158
Salt158,IRRI,2011,DS,R1,Nueva Ecija,104.4552051602,10.8473978349,4.0355397941,4.9727096254,5.8720384477,3.176940914,10.1892192886
Salt159,IRRI,2011,DS,R1,Nueva Ecija,104.1621088136,11.7548642324,5.1846222598,4.9821618196,5.4866616961,6.4038320561,8.2885303863
Salt160,IRRI,2011,DS,R1,Nueva Ecija,79.5684928027,12.2857835607,3.9578194021,5.559106,5.8703587546,5.4637371902,7.5214178997
Salt161,IRRI,2011,DS,R1,Nueva Ecija,97.686649875,10.9539336303,6.0303502248,5.5180599706,5.9457441424,4.7546131621,8.4274708565
Salt162,IRRI,2011,DS,R1,Nueva Ecija,102.7657005912,12.7821286743,4.6593409159,4.6071050258,3.8269625677,4.6689743442,5.508332874
Salt163,IRRI,2011,DS,R1,Nueva Ecija,113.2140267669,13.7953655147,5.977902986,4.2700261782,5.776343774,6.3266043993,8.6278545868
Salt164,IRRI,2011,DS,R1,Nueva Ecija,110.7222101282,11.4236417234,4.0563591931,4.5946313901,3.8513579113,5.8442678111,8.5310074664
Salt165,IRRI,2011,DS,R1,Nueva Ecija,94.211438805,12.8519807281,4.7281353326,6.4449039084,6.3583347252,5.6290004597,7.7591933134
Salt166,IRRI,2011,DS,R1,Nueva Ecija,92.7025624258,10.9893993878,5.1721857919,3.648993431,3.3479699079,6.0617361328,9.8070086303
Salt167,IRRI,2011,DS,R1,Nueva Ecija,91.711407813,13.4947531028,5.5978935954,4.6774422201,6.3124993613,5.4792732591,8.8034110995
Salt168,IRRI,2011,DS,R1,Nueva Ecija,82.6540656792,13.5326621424,4.8764351485,4.0510167995,6.3136466465,5.7404561382,7.3755949417
Salt169,IRRI,2011,DS,R1,Nueva Ecija,93.396777133,11.6877136225,5.7311074888,3.1939945894,3.8720383471,5.7791354757,9.1367590187
Salt170,IRRI,2011,DS,R1,Nueva Ecija,86.4031537766,10.4406940369,5.0065161346,3.6288850098,4.1798099867,5.7364439811,7.9523011896
Salt171,IRRI,2011,DS,R1,Nueva Ecija,125.1877889228,12.0998171324,6.8998573565,4.6463811842,5.7313108915,5.6428587739,6.9995802231
Salt172,IRRI,2011,DS,R1,Nueva Ecija,93.9601118004,12.1721786031,3.7840265959,4.8219315753,5.6675440911,4.1425603083,7.3730116484
Salt173,IRRI,2011,DS,R1,Nueva Ecija,108.774191413,12.1621140277,4.9752835386,5.6493286523,3.8450994808,4.6581513681,7.5439922798
Salt174,IRRI,2011,DS,R1,Nueva Ecija,96.5351506959,11.13869828,5.3756393957,5.0822907059,6.146380546,2.9072430834,8.5684011998
Salt175,IRRI,2011,DS,R1,Nueva Ecija,94.601389691,12.6481762517,6.2848744918,3.859370865,4.7639927315,5.7159782927,7.7005991107
Salt176,IRRI,2011,DS,R1,Nueva Ecija,76.6868534896,11.1001739774,5.232779889,4.3744882869,5.9487516556,4.4889535751,7.683710097
Salt177,IRRI,2011,DS,R1,Nueva Ecija,107.5437971214,11.5228910997,4.0492964387,4.0916623378,4.1947947414,5.4097584155,8.4633220136
Salt178,IRRI,2011,DS,R1,Nueva Ecija,109.679966877,11.0528728545,6.1485754941,7.2553207052,3.4979202119,4.8635643283,6.9004608135
Salt179,IRRI,2011,DS,R1,Nueva Ecija,101.4217784546,11.6047584083,7.4398365393,4.7691546518,4.2082317762,5.1913008345,9.0927998957
Salt180,IRRI,2011,DS,R1,Nueva Ecija,102.6505792283,11.8414065758,4.4895565816,4.7552081739,4.8946918529,4.8174888962,7.496485099
Salt181,IRRI,2011,DS,R1,Nueva Ecija,87.9242558694,12.155783421,4.4895242398,2.8143810895,5.6547457347,6.863798286,9.7661531118
Salt182,IRRI,2011,DS,R1,Nueva Ecija,102.6052844582,12.0849201135,6.1359242667,6.8549321452,4.5694883689,4.7149090609,8.4004842372
